fund_key,nome,cnpj,gestor,classe_anbima,patrimonio_liquido,publico_alvo,taxa_administracao_cvm_mensal_pct,referencia_fundo_kinea,eh_fundo_kinea,source
CNPJ:54.124.933/0001-10,DB PLUS KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV - RESP LIMITADA,54.124.933/0001-10,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,21835838.57,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.125.545/0001-53,BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRA GR II,54.125.545/0001-53,BANCO BRADESCO S.A.,Renda Fixa Duração Livre Crédito Livre,74499184.06,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.128.184/0001-07,CATLITE INFRA FIF - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA- RESP LIMITADA,54.128.184/0001-07,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,29902858.6,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.130.675/0001-84,GIRONDA KINEA FIF - FUNDO INCENTIVADO EM INV DEB INFRA RF CRED PRIV - RESP LIMITADA,54.130.675/0001-84,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,40064301.46,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.133.777/0001-53,ESTRELA INFRA KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB INFRA RF CRÉD PRIV - RESP LIMITADA,54.133.777/0001-53,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,21956936.85,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.149.691/0001-19,VENTUS FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA,54.149.691/0001-19,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,27407113.72,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.150.227/0001-42,CRASSO CLASSE DE INVESTIMENTO EM RENDA FIXA INFRAESTRUTURA INCENTIVADO CRÉDITO PRIVADO,54.150.227/0001-42,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,44047893.41,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.151.845/0001-07,ROKA STAR FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - CRÉDITO PRIVADO,54.151.845/0001-07,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,149159670.54,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.152.157/0001-61,GUPEX FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - CRÉDITO PRIVADO,54.152.157/0001-61,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,65149324.66,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.168.036/0001-08,MANAGER KINEA INCENTIVADO FIF INV EM INFRAESTRUTURA CIC RF EM INFRA LONGO PRAZO RESP LIMITADA,54.168.036/0001-08,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Renda Fixa Duração Livre Crédito Livre,42285924.26,,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.169.385/0001-44,MTZ II IPCA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV - RESP LIMITADA,54.169.385/0001-44,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,23067598.18,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.170.181/0001-23,MTZ I CDI FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV - RESP LIMITADA,54.170.181/0001-23,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,26583325.38,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.170.554/0001-66,FAZENDA SALVATI I CDI FIF - FUNDO INCENTIVADO EM INV DEB INFRA RF CRED PRIV - RESP LIMITADA,54.170.554/0001-66,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,41745794.88,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.173.311/0001-81,FAZENDA SALVATI II IPCA FIF - FUNDO INCENTIVADO EM INV DEB INFRA RF CRED PRIV - RESP LIMITADA,54.173.311/0001-81,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,Renda Fixa Duração Livre Crédito Livre,24669888.03,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.179.046/0001-49,MAWA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO DEB INFRA RF CRED PRIV - RESP LIMITADA,54.179.046/0001-49,KINEA INVESTIMENTOS LTDA.,Renda Fixa Duração Livre Crédito Livre,34340038.83,Profissional,,Kinea Incentivado RF CP LP FIF,True,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.189.401/0001-60,MIRANDA LUAR FIF INV EM INFRAESTRUTURA CLASSE DE INVESTIMENTO EM INFRA RENDA FIXA RESP LIMITADA,54.189.401/0001-60,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Renda Fixa Duração Livre Crédito Livre,21767316.98,,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.200.289/0001-11,SK8 FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA,54.200.289/0001-11,G5 ADMINISTRADORA DE RECURSOS LTDA.,Renda Fixa Duração Livre Crédito Livre,17486781.71,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.200.888/0001-35,EAGLE J3 FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - CRÉDITO PRIVADO,54.200.888/0001-35,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,43831030.94,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.217.470/0001-30,VIRTUS FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,54.217.470/0001-30,EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA,Renda Fixa Duração Livre Crédito Livre,97228786.27,Público Geral,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.219.303/0001-29,INTER LOG 2 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,54.219.303/0001-29,INTER ASSET GESTÃO DE RECURSOS LTDA.,Renda Fixa Duração Livre Crédito Livre,191746700.71,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.228.000/0001-72,FUNDO DE INVESTIMENTO FINANCEIRO CI RF INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA ZAPALLAR,54.228.000/0001-72,BANCO BRADESCO S.A.,Renda Fixa Duração Livre Crédito Livre,28951085.02,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.229.255/0001-50,BRADESCO FIF - CLASSE DE INVESTIMENTO RF CRÉDITO PRIVADO GERI INSTITUCIONAL - RESP LIMITADA,54.229.255/0001-50,BANCO BRADESCO S.A.,Renda Fixa Duração Livre Crédito Livre,26701599.52,Qualificado,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.233.243/0001-07,ATENA VP YIELD D30 FUNDO DE INVESTIMENTO RENDA FIXA,54.233.243/0001-07,ATENA CAPITAL GESTÃO DE RECURSOS LTDA.,Renda Fixa Duração Livre Crédito Livre,224669982.51,Qualificado,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.235.704/0001-72,CHINOOK FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,54.235.704/0001-72,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,122152549.87,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.237.051/0001-60,JGP DEBÊNTURES INCENTIVADAS JUROS REAIS 60 FIF RENDA FIXA INVEST EM INFRA CRED PRIV RESP LIMITADA,54.237.051/0001-60,LETO ASSET MANAGEMENT LTDA,Renda Fixa Duração Livre Crédito Livre,309857483.37,Público Geral,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.248.494/0001-57,OCTOGONAL INFRA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,54.248.494/0001-57,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,56261406.47,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
CNPJ:54.251.235/0001-85,FELIXSTOWE FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA,54.251.235/0001-85,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,Renda Fixa Duração Livre Crédito Livre,47598426.45,Profissional,,Kinea Incentivado RF CP LP FIF,False,"CVM registro_classe.csv (RCVM175, fundos adaptados)"
